page,code,text,text_uk,text_en,text_ru
test_drive,test_drive_text1,"Відчуйте силу електровелосипеду перед покупкою. Заповніть форму на тест-драйв, та наш менеджер зв’яжеться з Вами.","Відчуйте силу електровелосипеду перед покупкою. Заповніть форму на тест-драйв, та наш менеджер зв’яжеться з Вами.",Unleash the power of electric bike before buying. Fill the test drayf and our manager will contact you.,"Почувствуйте силу электро-велосипеда перед покупкой. Заполните форму на тест-драйф, и наш менеджер свяжется с вами."
about,about_contacts,Зв'язок,Зв'язок,Contacts,Контакты
about,about_order,Надіслати,Надіслати,Order,Отправить
about,text_2,"За всі роки існування команії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","За всі роки існування команії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","For all the years of Comana, we have gained considerable experience in developing and manufacturing electric, with which we share with all stakeholders.","За все годы существования комании, мы получили большой опыт в разработке и изготовлении электротранспорта, с которым делимся со всеми заинтересованными."
about,text_1,"ELEEK – це наступний крок у вело-еволюції. Протягом багатьох років у Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","ELEEK – це наступний крок у вело-еволюції. Протягом багатьох років у Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","Elika - is the next step in the evolution of cycling. For many years in Ternopil operates electric bike workshop, which brings together under one roof real professionals and a mild electric fans. We are constantly developing and testing various new products and take an active part in promoting ekotrasportu in Ukraine and abroad.","Элек - это следующий шаг в вело-эволюции. Уже много лет в городе Тернополе работает электро-вело-мастерская, которая объединила под одной крышей настоящих профессионалов и просто фанатов легкого электротранспорта. Мы постоянно разрабатываем и тестируем различные новинки, а также принимаем активное участие в популяризации екотраспорту в Украине и за ее пределами."
index,index_assort,У нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,У нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,In our assortment you can find all the most necessary products for your bike,В нашем ассортименте вы можете найти все необходимые товары для вашего басню
index,index_choose,"При виборіелектро велосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","При виборіелектро велосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","When choosing electric bike can not limit itself to suggestions. We can pick up a bike that fits you. Since bicycles for walks in the park, concluding charged brutal motorcycle for aggressive driving everywhere.","При выборе электро велосипеда можно не ограничивать себя в пожеланиях. Мы можем подобрать велосипед который подойдет именно Вам. Начиная с велосипеда для неспешных прогулок по парку, заканчивая заряженным грубым мотоциклом для агрессивной езды везде."
index,index_our_velek,Наші велосипеди є одними з найпотужніших та найякісніших на ринку,Наші велосипеди є одними з найпотужніших та найякісніших на ринку,Our bikes are among the most powerful and highest quality on the market,Наши велосипеды одни из самых мощных и качественных на рынке
header,header_construct,Склади свій власний електро-велосипед онлайн!,Склади свій власний електро-велосипед онлайн!,Starting your own electric bike online!,Составь свой собственный электро-велосипед онлайн!
index,index_all_assort,Весь асортимент,Весь асортимент,The entire range,весь ассортимент
