page,code,text,text_uk,text_ru,text_en
about,about_us,Про нас,Про нас,О нас,About us
about,text_1,"Елек – це наступний крок у вело-еволюції. Вже багато років у місті Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","Елек – це наступний крок у вело-еволюції. Вже багато років у місті Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","Элек - это следующий шаг в вело-эволюции. Уже много лет в городе Тернополе работает электро-вело-мастерская, которая объединила под одной крышей настоящих профессионалов и просто фанатов легкого электротранспорта. Мы постоянно разрабатываем и тестируем различные новинки, а также принимаем активное участие в популяризации екотраспорту в Украине и за ее пределами.","Elika - is the next step in the evolution of cycling. For many years in Ternopil operates electric bike workshop, which brings together under one roof real professionals and a mild electric fans. We are constantly developing and testing various new products and take an active part in promoting ekotrasportu in Ukraine and abroad."
about,text_2,"За всі роки існування команії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, із яким ділимося зі всіма зацікавленими.","За всі роки існування команії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, із яким ділимося зі всіма зацікавленими.","За все годы существования комании, мы получили большой опыт в разработке и изготовлении электротранспорта, с которым делимся со всеми заинтересованными.","For all the years of Comana, we have gained considerable experience in developing and manufacturing electric, with which we share with all stakeholders."
about,certs,Сертифікати,Сертифікати,сертификаты,Certifications
about,our_partners,Партнери,Партнери,партнеры,Partners
about,about_contacts,Контакти,Контакти,Контакты,Contacts
about,about_name,Ім'я,Ім'я,имя,Name
about,about_phone,Телефон,Телефон,Телефон,Phone
about,about_email,E-mail,E-mail,E-mail,E-mail
about,about_message,Повідомлення,Повідомлення,сообщение,Message
about,about_order,Замовити,Замовити,Заказать,Order
header,header_about,Про нас,Про нас,О нас,About us
header,header_faq,Часті питання,Часті питання,Часто задаваемые вопросы,Frequently Asked questions
footer,footer_all_rights,Всі права захищено,Всі права захищено,Все права защищены,all rights reserved
test_drive,test_drive_test_drive,Тест-драйв,Тест-драйв,Тест-драйв,Test Drive
test_drive,test_drive_text1,"Відчуйте силу електро-велосипеду перед покупкою. Заповніть форму на тест-драйф, та наш менеджер зв’яжиться з вами.","Відчуйте силу електро-велосипеду перед покупкою. Заповніть форму на тест-драйф, та наш менеджер зв’яжиться з вами.","Почувствуйте силу электро-велосипеда перед покупкой. Заполните форму на тест-драйф, и наш менеджер свяжется с вами.",Unleash the power of electric bike before buying. Fill the test drayf and our manager will contact you.
shop,shop_shop,Магазин,Магазин,магазин,Shop
search,search_results,Результати пошуку,Результати пошуку,результаты поиска,Search Results
profile,cabinet,Особистий кабінет,Особистий кабінет,Личный кабинет,Personal office
order,order_order,Оформлення замовлення,Оформлення замовлення,оформление заказа,ordering
order,step1,Крок 1. Контактні дані,Крок 1. Контактні дані,Шаг 1. Контактные данные,Step 1: Contact Information
order,step2,Крок 2. Спосіб доставки,Крок 2. Спосіб доставки,Шаг 2. Способ доставки,Step 2. Shipping Method
order,step3,Крок 3. Оплата,Крок 3. Оплата,Шаг 3. Оплата,Step 3. Payment
general,review,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Поделитесь своим опытом пользованием нашим товаром и оцининь его!,Share your experience with our product and otsinin it!
index,index_feel,Відчуй переваги професіоналів,Відчуй переваги професіоналів,Почувствуй преимущества профессионалов,Benefit Professionals
index,index_our_velek,Наші велосипеди одні з найпотужніших та найякісніших на ринку,Наші велосипеди одні з найпотужніших та найякісніших на ринку,Наши велосипеды одни из самых мощных и качественных на рынке,Our bikes are among the most powerful and highest quality on the market
index,index_assort,В нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,В нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,В нашем ассортименте вы можете найти все необходимые товары для вашего басню,In our assortment you can find all the most necessary products for your bike
index,index_all_assort,Весь асортимент,Весь асортимент,весь ассортимент,The entire range
index,index_choose,"При виборі електро велосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед який підійде саме Вам. Починаючи з велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди всюди.","При виборі електро велосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед який підійде саме Вам. Починаючи з велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди всюди.","При выборе электро велосипеда можно не ограничивать себя в пожеланиях. Мы можем подобрать велосипед который подойдет именно Вам. Начиная с велосипеда для неспешных прогулок по парку, заканчивая заряженным грубым мотоциклом для агрессивной езды везде.","When choosing electric bike can not limit itself to suggestions. We can pick up a bike that fits you. Since bicycles for walks in the park, concluding charged brutal motorcycle for aggressive driving everywhere."
header,header_construct,Склади свій власний електро-велосипед онлайн!,Склади свій власний електро-велосипед онлайн!,Составь свой собственный электро-велосипед онлайн!,Starting your own electric bike online!
page_code,content_code,,,,
page_code,content_code,,,,
page_code,content_code,,,,
page_code,content_code,,,,
page_code,content_code,,,,
