page,code,text,text_uk,text_en,text_ru
page_code,content_code,,,,
header,header_construct,Склади свій власний електро-велосипед онлайн!,Склади свій власний електро-велосипед онлайн!,Starting your own electric bike online!,Составь свой собственный электро-велосипед онлайн!
index,index_choose,"При виборі електро велосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед який підійде саме Вам. Починаючи з велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди всюди.","При виборі електро велосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед який підійде саме Вам. Починаючи з велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди всюди.","When choosing electric bike can not limit itself to suggestions. We can pick up a bike that fits you. Since bicycles for walks in the park, concluding charged brutal motorcycle for aggressive driving everywhere.","При выборе электро велосипеда можно не ограничивать себя в пожеланиях. Мы можем подобрать велосипед который подойдет именно Вам. Начиная с велосипеда для неспешных прогулок по парку, заканчивая заряженным грубым мотоциклом для агрессивной езды везде."
index,index_all_assort,Весь асортимент,Весь асортимент,The entire range,весь ассортимент
index,index_assort,В нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,В нашому асортименті ви можете знайти усі найнеобхідніші товари для вашого байку,In our assortment you can find all the most necessary products for your bike,В нашем ассортименте вы можете найти все необходимые товары для вашего басню
index,index_our_velek,Наші велосипеди одні з найпотужніших та найякісніших на ринку,Наші велосипеди одні з найпотужніших та найякісніших на ринку,Our bikes are among the most powerful and highest quality on the market,Наши велосипеды одни из самых мощных и качественных на рынке
index,index_feel,Відчуй переваги професіоналів,Відчуй переваги професіоналів,Benefit Professionals,Почувствуй преимущества профессионалов
general,review,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Поділіться своїм досвідом користуванням нашим товаром та оцінінь його!,Share your experience with our product and otsinin it!,Поделитесь своим опытом пользованием нашим товаром и оцининь его!
order,step3,Крок 3. Оплата,Крок 3. Оплата,Step 3. Payment,Шаг 3. Оплата
order,step2,Крок 2. Спосіб доставки,Крок 2. Спосіб доставки,Step 2. Shipping Method,Шаг 2. Способ доставки
order,step1,Крок 1. Контактні дані,Крок 1. Контактні дані,Step 1: Contact Information,Шаг 1. Контактные данные
order,order_order,Оформлення замовлення,Оформлення замовлення,ordering,оформление заказа
profile,cabinet,Особистий кабінет,Особистий кабінет,Personal office,Личный кабинет
search,search_results,Результати пошуку,Результати пошуку,Search Results,результаты поиска
shop,shop_shop,Магазин,Магазин,Shop,магазин
test_drive,test_drive_text1,"Відчуйте силу електро-велосипеду перед покупкою. Заповніть форму на тест-драйф, та наш менеджер зв’яжиться з вами.","Відчуйте силу електро-велосипеду перед покупкою. Заповніть форму на тест-драйф, та наш менеджер зв’яжиться з вами.",Unleash the power of electric bike before buying. Fill the test drayf and our manager will contact you.,"Почувствуйте силу электро-велосипеда перед покупкой. Заполните форму на тест-драйф, и наш менеджер свяжется с вами."
test_drive,test_drive_test_drive,Тест-драйв,Тест-драйв,Test Drive,Тест-драйв
footer,footer_all_rights,Всі права захищено,Всі права захищено,all rights reserved,Все права защищены
header,header_faq,Часті питання,Часті питання,Frequently Asked questions,Часто задаваемые вопросы
header,header_about,Про нас,Про нас,About us,О нас
about,about_order,Замовити,Замовити,Order,Заказать
about,about_message,Повідомлення,Повідомлення,Message,сообщение
about,about_email,E-mail,E-mail,E-mail,E-mail
about,about_phone,Телефон,Телефон,Phone,Телефон
about,about_name,Ім'я,Ім'я,Name,имя
about,about_contacts,Контакти,Контакти,Contacts,Контакты
about,our_partners,Партнери,Партнери,Partners,партнеры
about,certs,Сертифікати,Сертифікати,Certifications,сертификаты
about,text_2,"За всі роки існування команії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, із яким ділимося зі всіма зацікавленими.","За всі роки існування команії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, із яким ділимося зі всіма зацікавленими.","For all the years of Comana, we have gained considerable experience in developing and manufacturing electric, with which we share with all stakeholders.","За все годы существования комании, мы получили большой опыт в разработке и изготовлении электротранспорта, с которым делимся со всеми заинтересованными."
about,text_1,"Елек – це наступний крок у вело-еволюції. Вже багато років у місті Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","Елек – це наступний крок у вело-еволюції. Вже багато років у місті Тернополі функціонує електро-вело-майстерня, яка об’єднала під одним дахом справжніх професіоналів і просто фанатів легкого електротранспорту. Ми постійно розробляємо та тестуємо всілякі новинки, а також приймаємо активну участь в популяризації екотраспорту в Україні та за її межами.","Elika - is the next step in the evolution of cycling. For many years in Ternopil operates electric bike workshop, which brings together under one roof real professionals and a mild electric fans. We are constantly developing and testing various new products and take an active part in promoting ekotrasportu in Ukraine and abroad.","Элек - это следующий шаг в вело-эволюции. Уже много лет в городе Тернополе работает электро-вело-мастерская, которая объединила под одной крышей настоящих профессионалов и просто фанатов легкого электротранспорта. Мы постоянно разрабатываем и тестируем различные новинки, а также принимаем активное участие в популяризации екотраспорту в Украине и за ее пределами."
about,about_us,Про нас,Про нас,About us,О нас
