page,code,text,text_uk,text_en,text_ru
register,text154,Уже маєте аккаунт?,Уже маєте аккаунт?,Already have an account?,Уже есть аккаунт?
header,text2,Записатиcь на тест-драйв,Записатиcь на тест-драйв,Zapysatyc a test drive,Записатиcь на тест-драйв
about,text_2,"За всі роки існування компанії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","За всі роки існування компанії, ми здобули чималий досвід у розробці та виготовленні електротранспорту, яким ділимося із усіма зацікавленими.","For all the years of existence, we have gained considerable experience in the development and manufacture of electric, which we share with all stakeholders.","За все годы существования компании, мы получили большой опыт в разработке и изготовлении электротранспорта, которым делимся со всеми заинтересованными."
test_drive,text66,Модель,Модель,Model,модель
index,index_choose,"При виборі електровелосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","При виборі електровелосипеда можна не обмежувати себе в побажаннях. Ми можемо підібрати велосипед, який підійде саме Вам. Починаючи від велосипеда для неспішних прогулянок по парку, закінчуючи зарядженим брутальним мотоциклом для агресивної їзди.","When choosing electric can not limit itself to suggestions. We can pick up a bike that fits you. Starting from the bike for walks in the park, concluding charged brutal motorcycle for aggressive driving.","При выборе электровелосипеда можно не ограничивать себя в пожеланиях. Мы можем подобрать велосипед, который подойдет именно Вам. Начиная от велосипеда для неспешных прогулок по парку, заканчивая заряженным грубым мотоциклом для агрессивной езды."
page_code,content_code,,,#ЗНАЧ!,#ЗНАЧ!
login,text162,Зареєструватись,Зареєструватись,Register,Регистрация
login,text161,Ще не зареєстровані?,Ще не зареєстровані?,Not yet registered?,Еще не зарегистрированы?
login,text160,Забули пароль?,Забули пароль?,Forgot your password?,Забыли пароль?
login,text159,Вхід через Google,Вхід через Google,Login using Google,Вход через Google
login,text158,Пароль,Пароль,Password,пароль
login,text157,Логін,Логін,Login,логин
login,text156,Вхід,Вхід,Exit,Вход
register,text155,Увійти,Увійти,Log in,Войти
register,text153,Повторіть пароль,Повторіть пароль,Repeat password,Повторите пароль
register,text152,Пароль,Пароль,Password,пароль
register,text151,Телефон,Телефон,Phone,Телефон
register,text150,Логін,Логін,Login,логин
register,text149,Реєстрація,Реєстрація,Registration,Регистрация
general,text148,Відправити,Відправити,Send,Отправить
general,text147,Коментар,Коментар,Comment,комментарий
general,text146,Адреса,Адреса,Address,Адрес
general,text145,Телефон,Телефон,Phone,Телефон
general,text144,Ім'я,Ім'я,Name,имя
general,text143,Швидка покупка,Швидка покупка,Express purchase,Быстрая покупка
general,text142,Додати відгук,Додати відгук,Add a review,Добавить отзыв
general,text141,Відгук,Відгук,Response,отзыв
general,text140,Ваша оцінка товару,Ваша оцінка товару,Your grade product,Ваша оценка товара
general,text139,Телефон,Телефон,Phone,Телефон
general,text138,Ім'я,Ім'я,Name,имя
general,text137,Новий відгук,Новий відгук,New review,новый отзыв
general,text136,Відправити,Відправити,Send,Отправить
general,text135,Коментар,Коментар,Comment,комментарий
general,text134,Адреса,Адреса,Address,Адрес
general,text133,Телефон,Телефон,Phone,Телефон
general,text132,Ім'я,Ім'я,Name,имя
general,text131,"На даний момент товару немає у наявності, залиште заявку на інформацію про товар","На даний момент товару немає у наявності, залиште заявку на інформацію про товар","Currently no product available, leave a request for information about the product","На данный момент товара нет в наличии, оставьте заявку на информацию о товаре"
general,text130,Всього,Всього,Total,всего
general,text129,Ціна,Ціна,Price,Цена
general,text128,Кількість,Кількість,Number,количество
order,text127,Оплата карткою,Оплата карткою,Payment card,оплата картой
order,text126,Готівка,Готівка,Cash,Наличные
order,text125,Далі,Далі,Further,Далее
order,text124,Адреса,Адреса,Address,Адрес
order,text123,Номер відділення,Номер відділення,Room separation,номер отделения
order,text122,Місто,Місто,City,город
order,text121,Самовивіз з магазину,Самовивіз з магазину,Pickup from store,Самовывоз из магазина
order,text120,Нова пошта,Нова пошта,New post,Новая почта
order,text119,Доставка від Eleek,Доставка від Eleek,Delivery of Eleek,Доставка от Eleek
order,text118,Далі,Далі,Further,Далее
order,text117,Телефон,Телефон,Phone,Телефон
order,text116,Ім'я та прізвище,Ім'я та прізвище,First and last name,Имя и фамилия
profile,text115,Повторіть пароль,Повторіть пароль,Repeat password,Повторите пароль
profile,text114,Новий Пароль,Новий Пароль,New Password,новый Пароль
profile,text113,Місто,Місто,City,город
profile,text112,Телефон,Телефон,Phone,Телефон
